"date","experiment","level","model","temporal_resolution","variable","realization_number","model_ID","CMIP6_table","CMIP6_table_shortname","grid"
"1850-01-01/2014-12-31","historical","single_levels","cnrm_cm6_1_hr","daily","near_surface_air_temperature","r1i1p1f2","CNRM-CM6-1-HR","day","tas","gn"
"1850-01-01/2014-12-31","historical","single_levels","cnrm_esm2_1","daily","near_surface_air_temperature","r1i1p1f2","CNRM-ESM2-1","day","tas","gn"
"1850-01-01/2014-12-31","historical","single_levels","canesm5","daily","near_surface_air_temperature","r1i1p1f1","CANESM5","day","tas","gn"
"1850-01-01/2014-12-31","historical","single_levels","ec_earth3_aerchem","daily","near_surface_air_temperature","r1i1p1f1","EC-EARTH3-AERCHEM","day","tas","gn"
"1850-01-01/2014-12-31","historical","single_levels","ec_earth3_cc","daily","near_surface_air_temperature","r1i1p1f1","EC-EARTH3-CC","day","tas","gn"
"1850-01-01/2014-12-31","historical","single_levels","fgoals_f3_l","daily","near_surface_air_temperature","r1i1p1f1","FGOALS-F3-L","day","tas","gn"
"1850-01-01/2014-12-31","historical","single_levels","gfdl_esm4","daily","near_surface_air_temperature","r1i1p1f1","GFDL-ESM4","day","tas","gn"
"1850-01-01/2014-12-31","historical","single_levels","iitm_esm","daily","near_surface_air_temperature","r1i1p1f1","IITM-ESM","day","tas","gn"
"1850-01-01/2014-12-31","historical","single_levels","inm_cm4_8","daily","near_surface_air_temperature","r1i1p1f1","INM-CM4-8","day","tas","gn"
"1850-01-01/2014-12-31","historical","single_levels","inm_cm5_0","daily","near_surface_air_temperature","r1i1p1f1","INM-CM5-0","day","tas","gn"
"1850-01-01/2014-12-31","historical","single_levels","ipsl_cm5a2_inca","daily","near_surface_air_temperature","r1i1p1f1","IPSL-CM5A2-INCA","day","tas","gn"
"1850-01-01/2014-12-31","historical","single_levels","ipsl_cm6a_lr","daily","near_surface_air_temperature","r1i1p1f1","IPSL-CM6A-LR","day","tas","gn"
"1850-01-01/2014-12-31","historical","single_levels","kiost_esm","daily","near_surface_air_temperature","r1i1p1f1","KIOST-ESM","day","tas","gn"
"1850-01-01/2014-12-31","historical","single_levels","miroc_es2l","daily","near_surface_air_temperature","r1i1p1f2","MIROC-ES2L","day","tas","gn"
"1850-01-01/2014-12-31","historical","single_levels","miroc6","daily","near_surface_air_temperature","r1i1p1f1","MIROC6","day","tas","gn"
"1850-01-01/2014-12-31","historical","single_levels","mpi_esm1_2_hr","daily","near_surface_air_temperature","r1i1p1f1","MPI-ESM1-2-HR","day","tas","gn"
"1850-01-01/2014-12-31","historical","single_levels","mpi_esm1_2_lr","daily","near_surface_air_temperature","r1i1p1f1","MPI-ESM1-2-LR","day","tas","gn"
"1850-01-01/2014-12-31","historical","single_levels","mri_esm2_0","daily","near_surface_air_temperature","r1i1p1f1","MRI-ESM2-0","day","tas","gn"
"1850-01-01/2014-12-31","historical","single_levels","nesm3","daily","near_surface_air_temperature","r1i1p1f1","NESM3","day","tas","gn"
"1850-01-01/2014-12-31","historical","single_levels","noresm2_mm","daily","near_surface_air_temperature","r1i1p1f1","NORESM2-MM","day","tas","gn"
"1850-01-01/2014-12-31","historical","single_levels","taiesm1","daily","near_surface_air_temperature","r1i1p1f1","TAIESM1","day","tas","gn"
"1850-01-01/2014-12-31","historical","single_levels","access_cm2","daily","daily_minimum_near_surface_air_temperature","r1i1p1f1","ACCESS-CM2","day","tasmin","gn"
"1850-01-01/2014-12-31","historical","single_levels","access_esm1_5","daily","daily_minimum_near_surface_air_temperature","r1i1p1f1","ACCESS-ESM1-5","day","tasmin","gn"
"1850-01-01/2014-12-31","historical","single_levels","awi_cm_1_1_mr","daily","daily_minimum_near_surface_air_temperature","r1i1p1f1","AWI-CM-1-1-MR","day","tasmin","gn"
"1850-01-01/2014-12-31","historical","single_levels","awi_esm_1_1_lr","daily","daily_minimum_near_surface_air_temperature","r1i1p1f1","AWI-ESM-1-1-LR","day","tasmin","gn"
"1850-01-01/2014-12-31","historical","single_levels","bcc_csm2_mr","daily","daily_minimum_near_surface_air_temperature","r1i1p1f1","BCC-CSM2-MR","day","tasmin","gn"
"1850-01-01/2014-12-31","historical","single_levels","bcc_esm1","daily","daily_minimum_near_surface_air_temperature","r1i1p1f1","BCC-ESM1","day","tasmin","gn"
"1850-01-01/2014-12-31","historical","single_levels","cmcc_esm2","daily","daily_minimum_near_surface_air_temperature","r1i1p1f1","CMCC-ESM2","day","tasmin","gn"
"1850-01-01/2014-12-31","historical","single_levels","cnrm_cm6_1","daily","daily_minimum_near_surface_air_temperature","r1i1p1f2","CNRM-CM6-1","day","tasmin","gn"
"1850-01-01/2014-12-31","historical","single_levels","cnrm_cm6_1_hr","daily","daily_minimum_near_surface_air_temperature","r1i1p1f2","CNRM-CM6-1-HR","day","tasmin","gn"
"1850-01-01/2014-12-31","historical","single_levels","cnrm_esm2_1","daily","daily_minimum_near_surface_air_temperature","r1i1p1f2","CNRM-ESM2-1","day","tasmin","gn"
"1850-01-01/2014-12-31","historical","single_levels","canesm5","daily","daily_minimum_near_surface_air_temperature","r1i1p1f1","CANESM5","day","tasmin","gn"
"1850-01-01/2014-12-31","historical","single_levels","ec_earth3_aerchem","daily","daily_minimum_near_surface_air_temperature","r1i1p1f1","EC-EARTH3-AERCHEM","day","tasmin","gn"
"1850-01-01/2014-12-31","historical","single_levels","ec_earth3_cc","daily","daily_minimum_near_surface_air_temperature","r1i1p1f1","EC-EARTH3-CC","day","tasmin","gn"
"1850-01-01/2014-12-31","historical","single_levels","ec_earth3_veg_lr","daily","daily_minimum_near_surface_air_temperature","r1i1p1f1","EC-EARTH3-VEG-LR","day","tasmin","gn"
"1850-01-01/2014-12-31","historical","single_levels","fgoals_f3_l","daily","daily_minimum_near_surface_air_temperature","r1i1p1f1","FGOALS-F3-L","day","tasmin","gn"
"1850-01-01/2014-12-31","historical","single_levels","gfdl_esm4","daily","daily_minimum_near_surface_air_temperature","r1i1p1f1","GFDL-ESM4","day","tasmin","gn"
"1850-01-01/2014-12-31","historical","single_levels","inm_cm4_8","daily","daily_minimum_near_surface_air_temperature","r1i1p1f1","INM-CM4-8","day","tasmin","gn"
"1850-01-01/2014-12-31","historical","single_levels","inm_cm5_0","daily","daily_minimum_near_surface_air_temperature","r1i1p1f1","INM-CM5-0","day","tasmin","gn"
"1850-01-01/2014-12-31","historical","single_levels","ipsl_cm6a_lr","daily","daily_minimum_near_surface_air_temperature","r1i1p1f1","IPSL-CM6A-LR","day","tasmin","gn"
"1850-01-01/2014-12-31","historical","single_levels","kiost_esm","daily","daily_minimum_near_surface_air_temperature","r1i1p1f1","KIOST-ESM","day","tasmin","gn"
"1850-01-01/2014-12-31","historical","single_levels","miroc_es2l","daily","daily_minimum_near_surface_air_temperature","r1i1p1f2","MIROC-ES2L","day","tasmin","gn"
"1850-01-01/2014-12-31","historical","single_levels","miroc6","daily","daily_minimum_near_surface_air_temperature","r1i1p1f1","MIROC6","day","tasmin","gn"
"1850-01-01/2014-12-31","historical","single_levels","mpi_esm1_2_hr","daily","daily_minimum_near_surface_air_temperature","r1i1p1f1","MPI-ESM1-2-HR","day","tasmin","gn"
"1850-01-01/2014-12-31","historical","single_levels","mpi_esm1_2_lr","daily","daily_minimum_near_surface_air_temperature","r1i1p1f1","MPI-ESM1-2-LR","day","tasmin","gn"
"1850-01-01/2014-12-31","historical","single_levels","mri_esm2_0","daily","daily_minimum_near_surface_air_temperature","r1i1p1f1","MRI-ESM2-0","day","tasmin","gn"
"1850-01-01/2014-12-31","historical","single_levels","nesm3","daily","daily_minimum_near_surface_air_temperature","r1i1p1f1","NESM3","day","tasmin","gn"
"1850-01-01/2014-12-31","historical","single_levels","noresm2_mm","daily","daily_minimum_near_surface_air_temperature","r1i1p1f1","NORESM2-MM","day","tasmin","gn"
"1850-01-01/2014-12-31","historical","single_levels","sam0_unicon","daily","daily_minimum_near_surface_air_temperature","r1i1p1f1","SAM0-UNICON","day","tasmin","gn"
"1850-01-01/2014-12-31","historical","single_levels","access_cm2","daily","daily_maximum_near_surface_air_temperature","r1i1p1f1","ACCESS-CM2","day","tasmax","gn"
"1850-01-01/2014-12-31","historical","single_levels","access_esm1_5","daily","daily_maximum_near_surface_air_temperature","r1i1p1f1","ACCESS-ESM1-5","day","tasmax","gn"
"1850-01-01/2014-12-31","historical","single_levels","awi_cm_1_1_mr","daily","daily_maximum_near_surface_air_temperature","r1i1p1f1","AWI-CM-1-1-MR","day","tasmax","gn"
"1850-01-01/2014-12-31","historical","single_levels","awi_esm_1_1_lr","daily","daily_maximum_near_surface_air_temperature","r1i1p1f1","AWI-ESM-1-1-LR","day","tasmax","gn"
"1850-01-01/2014-12-31","historical","single_levels","bcc_esm1","daily","daily_maximum_near_surface_air_temperature","r1i1p1f1","BCC-ESM1","day","tasmax","gn"
"1850-01-01/2014-12-31","historical","single_levels","cmcc_esm2","daily","daily_maximum_near_surface_air_temperature","r1i1p1f1","CMCC-ESM2","day","tasmax","gn"
"1850-01-01/2014-12-31","historical","single_levels","cnrm_cm6_1","daily","daily_maximum_near_surface_air_temperature","r1i1p1f2","CNRM-CM6-1","day","tasmax","gn"
"1850-01-01/2014-12-31","historical","single_levels","cnrm_cm6_1_hr","daily","daily_maximum_near_surface_air_temperature","r1i1p1f2","CNRM-CM6-1-HR","day","tasmax","gn"
"1850-01-01/2014-12-31","historical","single_levels","cnrm_esm2_1","daily","daily_maximum_near_surface_air_temperature","r1i1p1f2","CNRM-ESM2-1","day","tasmax","gn"
"1850-01-01/2014-12-31","historical","single_levels","canesm5","daily","daily_maximum_near_surface_air_temperature","r1i1p1f1","CANESM5","day","tasmax","gn"
"1850-01-01/2014-12-31","historical","single_levels","ec_earth3_aerchem","daily","daily_maximum_near_surface_air_temperature","r1i1p1f1","EC-EARTH3-AERCHEM","day","tasmax","gn"
"1850-01-01/2014-12-31","historical","single_levels","ec_earth3_cc","daily","daily_maximum_near_surface_air_temperature","r1i1p1f1","EC-EARTH3-CC","day","tasmax","gn"
"1850-01-01/2014-12-31","historical","single_levels","ec_earth3_veg_lr","daily","daily_maximum_near_surface_air_temperature","r1i1p1f1","EC-EARTH3-VEG-LR","day","tasmax","gn"
"1850-01-01/2014-12-31","historical","single_levels","fgoals_f3_l","daily","daily_maximum_near_surface_air_temperature","r1i1p1f1","FGOALS-F3-L","day","tasmax","gn"
"1850-01-01/2014-12-31","historical","single_levels","gfdl_esm4","daily","daily_maximum_near_surface_air_temperature","r1i1p1f1","GFDL-ESM4","day","tasmax","gn"
"1850-01-01/2014-12-31","historical","single_levels","inm_cm4_8","daily","daily_maximum_near_surface_air_temperature","r1i1p1f1","INM-CM4-8","day","tasmax","gn"
"1850-01-01/2014-12-31","historical","single_levels","inm_cm5_0","daily","daily_maximum_near_surface_air_temperature","r1i1p1f1","INM-CM5-0","day","tasmax","gn"
"1850-01-01/2014-12-31","historical","single_levels","ipsl_cm6a_lr","daily","daily_maximum_near_surface_air_temperature","r1i1p1f1","IPSL-CM6A-LR","day","tasmax","gn"
"1850-01-01/2014-12-31","historical","single_levels","kiost_esm","daily","daily_maximum_near_surface_air_temperature","r1i1p1f1","KIOST-ESM","day","tasmax","gn"
"1850-01-01/2014-12-31","historical","single_levels","miroc_es2l","daily","daily_maximum_near_surface_air_temperature","r1i1p1f2","MIROC-ES2L","day","tasmax","gn"
"1850-01-01/2014-12-31","historical","single_levels","miroc6","daily","daily_maximum_near_surface_air_temperature","r1i1p1f1","MIROC6","day","tasmax","gn"
"1850-01-01/2014-12-31","historical","single_levels","mpi_esm1_2_hr","daily","daily_maximum_near_surface_air_temperature","r1i1p1f1","MPI-ESM1-2-HR","day","tasmax","gn"
"1850-01-01/2014-12-31","historical","single_levels","mpi_esm1_2_lr","daily","daily_maximum_near_surface_air_temperature","r1i1p1f1","MPI-ESM1-2-LR","day","tasmax","gn"
"1850-01-01/2014-12-31","historical","single_levels","mri_esm2_0","daily","daily_maximum_near_surface_air_temperature","r1i1p1f1","MRI-ESM2-0","day","tasmax","gn"
"1850-01-01/2014-12-31","historical","single_levels","nesm3","daily","daily_maximum_near_surface_air_temperature","r1i1p1f1","NESM3","day","tasmax","gn"
"1850-01-01/2014-12-31","historical","single_levels","noresm2_mm","daily","daily_maximum_near_surface_air_temperature","r1i1p1f1","NORESM2-MM","day","tasmax","gn"
"1850-01-01/2014-12-31","historical","single_levels","sam0_unicon","daily","daily_maximum_near_surface_air_temperature","r1i1p1f1","SAM0-UNICON","day","tasmax","gn"
"1850-01-01/2014-12-31","historical","single_levels","access_cm2","daily","precipitation","r1i1p1f1","ACCESS-CM2","day","pr","gn"
"1850-01-01/2014-12-31","historical","single_levels","access_esm1_5","daily","precipitation","r1i1p1f1","ACCESS-ESM1-5","day","pr","gn"
"1850-01-01/2014-12-31","historical","single_levels","awi_esm_1_1_lr","daily","precipitation","r1i1p1f1","AWI-ESM-1-1-LR","day","pr","gn"
"1850-01-01/2014-12-31","historical","single_levels","bcc_csm2_mr","daily","precipitation","r1i1p1f1","BCC-CSM2-MR","day","pr","gn"
"1850-01-01/2014-12-31","historical","single_levels","bcc_esm1","daily","precipitation","r1i1p1f1","BCC-ESM1","day","pr","gn"
"1850-01-01/2014-12-31","historical","single_levels","cmcc_cm2_hr4","daily","precipitation","r1i1p1f1","CMCC-CM2-HR4","day","pr","gn"
"1850-01-01/2014-12-31","historical","single_levels","cmcc_cm2_sr5","daily","precipitation","r1i1p1f1","CMCC-CM2-SR5","day","pr","gn"
"1850-01-01/2014-12-31","historical","single_levels","cmcc_esm2","daily","precipitation","r1i1p1f1","CMCC-ESM2","day","pr","gn"
"1850-01-01/2014-12-31","historical","single_levels","cnrm_cm6_1","daily","precipitation","r1i1p1f2","CNRM-CM6-1","day","pr","gn"
"1850-01-01/2014-12-31","historical","single_levels","cnrm_cm6_1_hr","daily","precipitation","r1i1p1f2","CNRM-CM6-1-HR","day","pr","gn"
"1850-01-01/2014-12-31","historical","single_levels","cnrm_esm2_1","daily","precipitation","r1i1p1f2","CNRM-ESM2-1","day","pr","gn"
"1850-01-01/2014-12-31","historical","single_levels","canesm5","daily","precipitation","r1i1p1f1","CANESM5","day","pr","gn"
"1850-01-01/2014-12-31","historical","single_levels","ec_earth3_aerchem","daily","precipitation","r1i1p1f1","EC-EARTH3-AERCHEM","day","pr","gn"
"1850-01-01/2014-12-31","historical","single_levels","ec_earth3_cc","daily","precipitation","r1i1p1f1","EC-EARTH3-CC","day","pr","gn"
"1850-01-01/2014-12-31","historical","single_levels","ec_earth3_veg_lr","daily","precipitation","r1i1p1f1","EC-EARTH3-VEG-LR","day","pr","gn"
"1850-01-01/2014-12-31","historical","single_levels","fgoals_f3_l","daily","precipitation","r1i1p1f1","FGOALS-F3-L","day","pr","gn"
"1850-01-01/2014-12-31","historical","single_levels","gfdl_esm4","daily","precipitation","r1i1p1f1","GFDL-ESM4","day","pr","gn"
"1850-01-01/2014-12-31","historical","single_levels","iitm_esm","daily","precipitation","r1i1p1f1","IITM-ESM","day","pr","gn"
"1850-01-01/2014-12-31","historical","single_levels","inm_cm4_8","daily","precipitation","r1i1p1f1","INM-CM4-8","day","pr","gn"
"1850-01-01/2014-12-31","historical","single_levels","inm_cm5_0","daily","precipitation","r1i1p1f1","INM-CM5-0","day","pr","gn"
"1850-01-01/2014-12-31","historical","single_levels","ipsl_cm5a2_inca","daily","precipitation","r1i1p1f1","IPSL-CM5A2-INCA","day","pr","gn"
"1850-01-01/2014-12-31","historical","single_levels","ipsl_cm6a_lr","daily","precipitation","r1i1p1f1","IPSL-CM6A-LR","day","pr","gn"
"1850-01-01/2014-12-31","historical","single_levels","kiost_esm","daily","precipitation","r1i1p1f1","KIOST-ESM","day","pr","gn"
"1850-01-01/2014-12-31","historical","single_levels","miroc_es2l","daily","precipitation","r1i1p1f2","MIROC-ES2L","day","pr","gn"
"1850-01-01/2014-12-31","historical","single_levels","miroc6","daily","precipitation","r1i1p1f1","MIROC6","day","pr","gn"
"1850-01-01/2014-12-31","historical","single_levels","mpi_esm1_2_hr","daily","precipitation","r1i1p1f1","MPI-ESM1-2-HR","day","pr","gn"
"1850-01-01/2014-12-31","historical","single_levels","mpi_esm1_2_lr","daily","precipitation","r1i1p1f1","MPI-ESM1-2-LR","day","pr","gn"
"1850-01-01/2014-12-31","historical","single_levels","mri_esm2_0","daily","precipitation","r1i1p1f1","MRI-ESM2-0","day","pr","gn"
"1850-01-01/2014-12-31","historical","single_levels","nesm3","daily","precipitation","r1i1p1f1","NESM3","day","pr","gn"
"1850-01-01/2014-12-31","historical","single_levels","noresm2_mm","daily","precipitation","r1i1p1f1","NORESM2-MM","day","pr","gn"
"1850-01-01/2014-12-31","historical","single_levels","sam0_unicon","daily","precipitation","r1i1p1f1","SAM0-UNICON","day","pr","gn"
"1850-01-01/2014-12-31","historical","single_levels","taiesm1","daily","precipitation","r1i1p1f1","TAIESM1","day","pr","gn"
"1850-01-01/2014-12-31","historical","single_levels","access_cm2","daily","near_surface_wind_speed","r1i1p1f1","ACCESS-CM2","day","sfcWind","gn"
"1850-01-01/2014-12-31","historical","single_levels","access_esm1_5","daily","near_surface_wind_speed","r1i1p1f1","ACCESS-ESM1-5","day","sfcWind","gn"
"1850-01-01/2014-12-31","historical","single_levels","awi_esm_1_1_lr","daily","near_surface_wind_speed","r1i1p1f1","AWI-ESM-1-1-LR","day","sfcWind","gn"
"1850-01-01/2014-12-31","historical","single_levels","bcc_csm2_mr","daily","near_surface_wind_speed","r1i1p1f1","BCC-CSM2-MR","day","sfcWind","gn"
"1850-01-01/2014-12-31","historical","single_levels","bcc_esm1","daily","near_surface_wind_speed","r1i1p1f1","BCC-ESM1","day","sfcWind","gn"
"1850-01-01/2014-12-31","historical","single_levels","cmcc_cm2_hr4","daily","near_surface_wind_speed","r1i1p1f1","CMCC-CM2-HR4","day","sfcWind","gn"
"1850-01-01/2014-12-31","historical","single_levels","cmcc_cm2_sr5","daily","near_surface_wind_speed","r1i1p1f1","CMCC-CM2-SR5","day","sfcWind","gn"
"1850-01-01/2014-12-31","historical","single_levels","cmcc_esm2","daily","near_surface_wind_speed","r1i1p1f1","CMCC-ESM2","day","sfcWind","gn"
"1850-01-01/2014-12-31","historical","single_levels","cnrm_cm6_1","daily","near_surface_wind_speed","r1i1p1f2","CNRM-CM6-1","day","sfcWind","gn"
"1850-01-01/2014-12-31","historical","single_levels","cnrm_cm6_1_hr","daily","near_surface_wind_speed","r1i1p1f2","CNRM-CM6-1-HR","day","sfcWind","gn"
"1850-01-01/2014-12-31","historical","single_levels","cnrm_esm2_1","daily","near_surface_wind_speed","r1i1p1f2","CNRM-ESM2-1","day","sfcWind","gn"
"1850-01-01/2014-12-31","historical","single_levels","ec_earth3_aerchem","daily","near_surface_wind_speed","r1i1p1f1","EC-EARTH3-AERCHEM","day","sfcWind","gn"
"1850-01-01/2014-12-31","historical","single_levels","ec_earth3_cc","daily","near_surface_wind_speed","r1i1p1f1","EC-EARTH3-CC","day","sfcWind","gn"
"1850-01-01/2014-12-31","historical","single_levels","ec_earth3_veg_lr","daily","near_surface_wind_speed","r1i1p1f1","EC-EARTH3-VEG-LR","day","sfcWind","gn"
"1850-01-01/2014-12-31","historical","single_levels","fgoals_f3_l","daily","near_surface_wind_speed","r1i1p1f1","FGOALS-F3-L","day","sfcWind","gn"
"1850-01-01/2014-12-31","historical","single_levels","gfdl_esm4","daily","near_surface_wind_speed","r1i1p1f1","GFDL-ESM4","day","sfcWind","gn"
"1850-01-01/2014-12-31","historical","single_levels","iitm_esm","daily","near_surface_wind_speed","r1i1p1f1","IITM-ESM","day","sfcWind","gn"
"1850-01-01/2014-12-31","historical","single_levels","inm_cm4_8","daily","near_surface_wind_speed","r1i1p1f1","INM-CM4-8","day","sfcWind","gn"
"1850-01-01/2014-12-31","historical","single_levels","inm_cm5_0","daily","near_surface_wind_speed","r1i1p1f1","INM-CM5-0","day","sfcWind","gn"
"1850-01-01/2014-12-31","historical","single_levels","ipsl_cm5a2_inca","daily","near_surface_wind_speed","r1i1p1f1","IPSL-CM5A2-INCA","day","sfcWind","gn"
"1850-01-01/2014-12-31","historical","single_levels","ipsl_cm6a_lr","daily","near_surface_wind_speed","r1i1p1f1","IPSL-CM6A-LR","day","sfcWind","gn"
"1850-01-01/2014-12-31","historical","single_levels","kiost_esm","daily","near_surface_wind_speed","r1i1p1f1","KIOST-ESM","day","sfcWind","gn"
"1850-01-01/2014-12-31","historical","single_levels","miroc_es2l","daily","near_surface_wind_speed","r1i1p1f2","MIROC-ES2L","day","sfcWind","gn"
"1850-01-01/2014-12-31","historical","single_levels","miroc6","daily","near_surface_wind_speed","r1i1p1f1","MIROC6","day","sfcWind","gn"
"1850-01-01/2014-12-31","historical","single_levels","mpi_esm1_2_hr","daily","near_surface_wind_speed","r1i1p1f1","MPI-ESM1-2-HR","day","sfcWind","gn"
"1850-01-01/2014-12-31","historical","single_levels","mpi_esm1_2_lr","daily","near_surface_wind_speed","r1i1p1f1","MPI-ESM1-2-LR","day","sfcWind","gn"
"1850-01-01/2014-12-31","historical","single_levels","mri_esm2_0","daily","near_surface_wind_speed","r1i1p1f1","MRI-ESM2-0","day","sfcWind","gn"
"1850-01-01/2014-12-31","historical","single_levels","noresm2_lm","daily","near_surface_wind_speed","r1i1p1f1","NORESM2-LM","day","sfcWind","gn"
"1850-01-01/2014-12-31","historical","single_levels","noresm2_mm","daily","near_surface_wind_speed","r1i1p1f1","NORESM2-MM","day","sfcWind","gn"
"1850-01-01/2014-12-31","historical","single_levels","sam0_unicon","daily","near_surface_wind_speed","r1i1p1f1","SAM0-UNICON","day","sfcWind","gn"
"1850-01-01/2014-12-31","historical","single_levels","taiesm1","daily","near_surface_wind_speed","r1i1p1f1","TAIESM1","day","sfcWind","gn"
"1850-01-01/2014-12-31","historical","single_levels","access_cm2","daily","sea_level_pressure","r1i1p1f1","ACCESS-CM2","day","psl","gn"
